名称,城市,类型,级别,热度,地址
青岩古镇,贵州·贵阳·花溪区,古建筑,5A景区,热度 0.82,贵阳市花溪区交通路240号
虎丘,江苏·苏州·金阊区,古建筑,5A景区,热度 0.8,江苏省苏州市金阊区山塘街虎丘山门内8号
蓬莱阁,山东·烟台·蓬莱市,古建筑,5A景区,热度 1.0,山东省烟台蓬莱市迎宾路7号
沈阳故宫,辽宁·沈阳·沈河区,古建筑,4A景区,热度 0.7,辽宁省沈阳市沈河区沈阳路171号
布达拉宫,西藏·拉萨·城关区,古建筑,5A景区,热度 1.0,西藏自治区拉萨市城关区北京中路35号
开封府,河南·开封·鼓楼区,古建筑,4A景区,热度 0.96,河南省开封市包公东湖北岸
夫子庙,江苏·南京·秦淮区,古建筑,5A景区,热度 0.8800000000000001,江苏省南京市秦淮区龙蟠中路夫子庙
西安城墙,陕西·西安·碑林区,古建筑,5A景区,热度 0.82,陕西省西安市碑林区永宁门
王家大院,山西·晋中·灵石县,古建筑,4A景区,热度 0.82,山西省晋中市灵石县静升镇静升村
成都武侯祠,四川·成都·武侯区,古建筑,4A景区,热度 0.9,四川省成都市武侯区武侯祠大街231号
滕王阁,江西·南昌·东湖区,古建筑,5A景区,热度 1.0,江西省南昌市东湖区仿古街58号
慕田峪长城,北京·北京·怀柔区,古建筑,5A景区,热度 0.7,北京市怀柔区慕田峪村
西递,安徽·黄山·黟县,古建筑,5A景区,热度 0.7,安徽省黄山市黟县西递镇西递村
嘉峪关关城,甘肃·嘉峪关·嘉峪关市,古建筑,5A景区,热度 0.8400000000000001,甘肃省嘉峪关市明万里长城最西端
乔家大院,山西·晋中·祁县,古建筑,,热度 0.9400000000000001,山西省晋中市祁县乔家堡村
古堰画乡景区,浙江·丽水·莲都区,古建筑,4A景区,热度 0.72,浙江省丽水市莲都区大港头镇
龙亭公园,河南·开封·龙亭区,古建筑,4A景区,热度 0.86,河南省开封市龙亭区宋都御街北街
雁门关,山西·忻州·代县,古建筑,5A景区,热度 0.72,山西省忻州代县雁门关景区（二广高速新广武出口8公里）
皇城相府,山西·晋城·阳城县,古建筑,5A景区,热度 1.0,山西省晋城市阳城县北留镇皇城村
美龄宫,江苏·南京·钟山风景区,古建筑,,热度 0.0,江苏省南京市玄武区钟山中山陵景区内
泸定桥,四川·甘孜州·泸定县,古建筑,,热度 0.78,四川-甘孜州泸定县城大渡河上
崇圣寺三塔,云南·大理·大理古城,古建筑,5A景区,热度 0.86,云南省大理市大理古城西北两公里的苍山应乐峰下
西塘古镇,浙江·嘉兴·嘉善县,古建筑,5A景区,热度 0.8400000000000001,浙江省嘉兴市嘉善县西塘镇
婺源篁岭,江西·上饶·婺源县,古建筑,4A景区,热度 0.0,江西省上饶市婺源县江湾镇篁岭村
司马台长城,北京·北京·密云县,古建筑,4A景区,热度 0.76,北京市密云县东北部的古北口镇境内
独秀峰王城景区,广西·桂林·秀峰区,古建筑,5A景区,热度 0.72,广西壮族自治区桂林市秀峰区王城路1号
岭南印象园,广东·广州·番禺区,古建筑,4A景区,热度 0.74,广东省广州市番禺区外环西路
黄花城水长城,北京·北京·怀柔区,古建筑,4A景区,热度 0.7,北京市怀柔区九渡河镇西水峪
定陵,北京·北京·明十三陵,古建筑,,热度 0.72,北京市昌平区十三陵特区明十三陵
黄鹤楼,湖北·武汉·武昌区,古建筑,5A景区,热度 1.0,武汉市武昌区蛇山西山坡特1号
程阳八寨景区,广西·柳州·三江县,古建筑,4A景区,热度 0.7,广西省柳州市三江侗族自治县林溪乡程阳八寨
岳阳楼,湖南·岳阳·岳阳楼区,古建筑,5A景区,热度 1.0,湖南省岳阳市岳阳楼区洞庭北路60号
宝顶山景区,重庆·重庆·大足石刻,古建筑,,热度 0.72,重庆市大足县宝顶镇大足石刻景区
台州府城（江南长城）,浙江·台州·临海市,古建筑,4A景区,热度 0.74,浙江省台州市临海市北山路江南长城景区
西双版纳勐泐文化旅游区,云南·西双版纳·景洪市,古建筑,4A景区,热度 0.76,云南省西双版纳州景洪市勐泐大道顶端4路1号
桃坪羌寨,四川·阿坝藏族羌族自治州·理县,古建筑,,热度 0.7,四川省阿坝市理县桃坪乡
天津蓟州黄崖关长城景区,天津·天津·蓟县,古建筑,4A景区,热度 0.74,天津市蓟县下营镇黄崖关村卫围公路28公里
胡里山炮台,福建·厦门·思明区,古建筑,4A景区,热度 0.8400000000000001,福建省厦门市思明区曾厝垵路2号
五当召,内蒙古·包头·石拐区,古建筑,4A景区,热度 0.78,内蒙古省包头石拐区青五线五当沟
陕州地坑院,河南·三门峡·陕县,古建筑,,热度 0.0,河南省三门峡市陕州地坑院民俗文化园附近（东方向154米左右）
汉太史司马迁祠,陕西·渭南·韩城市,古建筑,4A景区,热度 0.7,陕西省渭南韩城市芝马路司马迁祠
浮梁古县衙,江西·景德镇·浮梁县,古建筑,4A景区,热度 0.76,江西省景德镇浮梁县浮梁古县衙景区
广府古城,河北·邯郸·永年区,古建筑,5A景区,热度 0.0,河北省邯郸市永年县广府镇
伏羲庙,甘肃·天水·秦州区,古建筑,4A景区,热度 0.9,甘肃省天水市秦州区伏羲路110号
洛阳白马寺,河南·洛阳·洛龙区,古建筑,4A景区,热度 0.8800000000000001,河南省洛阳市洛龙区白马寺镇310国道
张氏帅府,辽宁·沈阳·沈河区,古建筑,4A景区,热度 0.8,辽宁省沈阳市沈河区朝阳街少帅府巷46号
解州关帝庙,山西·运城·盐湖区,古建筑,4A景区,热度 0.82,山西省运城市解州镇西关五一路145号
退思园,江苏·苏州·同里古镇,古建筑,,热度 0.72,江苏省吴江市同里镇古镇区新填街234号
古城·尚书第,福建·三明·泰宁县,古建筑,,热度 0.82,福建省三明市泰宁县城内胜利二街福堂巷
南京阅江楼,江苏·南京·下关区,古建筑,4A景区,热度 0.78,江苏省南京市下关区建宁路202号
汉中武侯祠,陕西·汉中·勉县,古建筑,4A景区,热度 1.0,陕西省汉中市勉县县城108国道边
朱家花园,云南·红河·建水县,古建筑,4A景区,热度 0.82,云南省红河州建水县翰林街16号
石家大院,天津·天津·西青区,古建筑,4A景区,热度 0.74,天津市西青区杨柳青镇估衣街47号
九门口长城,辽宁·葫芦岛·绥中县,古建筑,4A景区,热度 0.9199999999999999,辽宁省葫芦岛市绥中县李家乡新堡子村
张壁古堡,山西·晋中·介休市,古建筑,,热度 0.74,山西省晋中介休市城区东南10公里龙凤乡张壁村
龙门古镇,浙江·杭州·富阳市,古建筑,4A景区,热度 0.7,浙江省杭州富阳市龙门镇牌楼龙门古镇内
皇泽寺,四川·广元·利州区,古建筑,4A景区,热度 0.0,四川省广元市利州区上西坝
李家大院,山西·运城·万荣县,古建筑,4A景区,热度 0.0,山西省运城市万荣县万荣县禹都大道129号
大观楼,云南·昆明·西山区,古建筑,4A景区,热度 0.8,云南省昆明市西山区大观路72号
水绘园,江苏·南通·如皋市,古建筑,4A景区,热度 0.72,江苏省南通如皋市碧霞路299号
天波杨府,河南·开封·龙亭区,古建筑,,热度 0.9,河南省开封市龙亭北路14号
朝天宫,江苏·南京·白下区,古建筑,4A景区,热度 0.74,江苏省南京市莫愁路188号
刘氏庄园,四川·成都·安仁古镇,古建筑,4A景区,热度 0.7,四川省成都市大邑县安仁镇金桂街15号
卓克基土司官寨,四川·阿坝藏族羌族自治州·马尔康县,古建筑,,热度 0.7,四川马尔康县东7公里的卓克基乡西索村
娲皇宫,河北·邯郸·涉县,古建筑,5A景区,热度 1.0,河北省邯郸市涉县索堡镇
谢鲁山庄,广西·玉林·陆川县,古建筑,4A景区,热度 0.76,广西玉林陆川县西南24公里的乌石镇谢鲁村
庆王府,天津·天津·和平区,古建筑,,热度 0.7,天津市和平区重庆道55号庆王府院内(近民园体育场)
开平碉楼文化旅游区,广东·江门·开平市,古建筑,,热度 0.9800000000000001,广东省江门开平市五五五县道
盘门,江苏·苏州·沧浪区,古建筑,4A景区,热度 0.78,江苏省苏州市沧浪区东大街49号
沧浪亭,江苏·苏州·沧浪区,古建筑,,热度 0.76,江苏省苏州市城南沧浪区人民路沧浪亭街3号
苏堤春晓,浙江·杭州·西湖,古建筑,,热度 0.74,浙江省杭州市西湖区苏堤上
白鹿洞书院,江西·九江·庐山市,古建筑,,热度 0.8,江西省九江市星子县
玉门关,甘肃·酒泉·敦煌市,古建筑,,热度 0.82,甘肃省酒泉市敦煌市城西北80公里的戈壁滩上
桂峰古民居,福建·三明·尤溪县,古建筑,,热度 0.0,福建省三明市尤溪县洋中镇东北部桂峰村
泰宁明清园,福建·三明·泰宁县,古建筑,,热度 0.0,福建省泰宁县三明市泰宁县城区五里亭
曲阜孔庙,山东·济宁·三孔,古建筑,,热度 0.0,山东省济宁市曲阜市神道路半壁街
曹操运兵道,安徽·亳州·谯城区,古建筑,,热度 0.0,安徽省亳州市谯城区人民路49号
培田古民居,福建·龙岩·连城县,古建筑,3A景区,热度 0.72,福建省龙岩市连城县宣和乡培田村
汉中武侯墓风景区,陕西·汉中·勉县,古建筑,4A景区,热度 0.0,陕西省汉中勉县武侯南路
康百万庄园,河南·郑州·巩义市,古建筑,4A景区,热度 0.72,河南省巩义市康店镇庄园路59号
龙川风景区,安徽·宣城·绩溪县,古建筑,5A景区,热度 1.0,安徽省宣城市绩溪县086县道
金山岭长城,河北·承德·滦平县,古建筑,4A景区,热度 0.74,河北承德滦平县巴克什营
殊像寺,山西·忻州·五台山,古建筑,,热度 0.0,山西省忻州市五台县五台山风景区
廿八都古镇,浙江·衢州·江山市,古建筑,5A景区,热度 1.0,浙江省衢州江山市廿八都古镇
水浒好汉城,山东·菏泽·郓城,古建筑,4A景区,热度 0.0,山东省菏泽市郓城县西门街南段
鸡鸣驿古城,河北·张家口·怀来县,古建筑,,热度 0.8400000000000001,河北省张家口市怀来县城西30公里处
赫图阿拉城,辽宁·抚顺·新宾县,古建筑,4A景区,热度 1.0,辽宁省抚顺市新宾满族自治县永陵镇老城朝鲜族村
陈家祠,广东·广州·荔湾区,古建筑,4A景区,热度 0.8,广东省广州市荔湾区中山七路恩龙里34号
黟县卢村木雕楼景区,安徽·黄山·黟县,古建筑,,热度 0.0,安徽省黄山市黟县宏村镇卢村
蒙山大佛,山西·太原·晋源区,古建筑,4A景区,热度 0.7,山西省太原市晋源区罗城寺底村
东澳岛,广东·珠海·香洲区,古建筑,,热度 0.74,广东省珠海市金湾区
三坊七巷,福建·福州·鼓楼区,古建筑,5A景区,热度 1.0,福建省福州市鼓楼区三坊七巷
天心阁,湖南·长沙·天心区,古建筑,4A景区,热度 0.8,湖南省长沙市天心区天心路3号
盂城驿,江苏·扬州·高邮市,古建筑,,热度 0.7,江苏省扬州市高邮市南门外馆驿路13号
鲁商新泰新甫山,山东·泰安·新泰市,古建筑,4A景区,热度 0.7,山东省泰安新泰市迈莱河路北首与莲花路交接处
真武阁,广西·玉林·三名旅游景区,古建筑,4A景区,热度 0.78,广西壮族自治区玉林市容县十里乡杨外村
古北口长城,北京·北京·古北口文化文物旅游区,古建筑,3A景区,热度 0.7,北京市密云县古北口镇
普救寺,山西·运城·永济市,古建筑,4A景区,热度 1.0,山西省永济市蒲州镇西厢村
南屏古镇,安徽·黄山·黟县,古建筑,4A景区,热度 0.72,安徽省黄山市黟县碧阳镇南屏村
乾州古城,湖南·湘西·吉首市,古建筑,4A景区,热度 0.0,湖南省土家族苗族自治州吉首市乾州古城
陶然亭公园,北京·北京·宣武区,古建筑,4A景区,热度 0.72,北京市西城区太平街19号
保国寺,浙江·宁波·江北区,古建筑,4A景区,热度 0.72,浙江省宁波市江北区洪塘镇
花洲书院,河南·南阳·邓州市,古建筑,3A景区,热度 0.74,河南省南阳市邓州市人民东路
胡雪岩故居,浙江·杭州·西湖,古建筑,,热度 0.72,浙江省杭州市上城区元宝街18号
奉国寺,辽宁·锦州·义县,古建筑,4A景区,热度 0.76,辽宁省锦州市义县东街18号
严家大院,云南·大理·大理古城,古建筑,,热度 0.0,云南省大理市喜洲镇四方街富春里1号
岳麓书院,湖南·长沙·岳麓区,古建筑,,热度 0.0,湖南省长沙市岳麓区岳麓山风景区旁
天宫庄园,浙江·宁波·鄞州区,古建筑,4A景区,热度 0.72,浙江省宁波市鄞州区下应镇湾底村
虎山长城,辽宁·丹东·宽甸县,古建筑,4A景区,热度 0.76,辽宁省丹东市宽甸县虎山乡的虎山南麓
大观公园,云南·昆明·西山区,古建筑,4A景区,热度 0.0,云南省昆明市西山区大观路284号
津门故里,天津·天津·南开区,古建筑,,热度 0.0,天津市南开区
娘子关,山西·阳泉·平定县,古建筑,,热度 1.0,山西省阳泉市平定县娘子关镇娘子关村
南风古灶旅游区,广东·佛山·禅城区,古建筑,4A景区,热度 0.0,佛山市禅城区石湾镇高庙路6号南风古灶景区
曹丞相府,河南·许昌·魏都区,古建筑,3A景区,热度 0.86,河南省许昌市魏都区衙前街
应县木塔,山西·朔州·应县,古建筑,4A景区,热度 1.0,山西省朔州市应县城内塔前街
东方明珠,上海·上海·浦东新区,城市观光,5A景区,热度 0.76,上海市浦东新区世纪大道1号
青岩古镇,贵州·贵阳·花溪区,城市观光,5A景区,热度 0.82,贵阳市花溪区交通路240号
西溪国家湿地公园,浙江·杭州·西湖区,城市观光,5A景区,热度 0.0,浙江省杭州市西湖区天目山路518号
黄浦江游览（十六铺码头）,上海·上海·黄浦区,城市观光,,热度 0.0,上海市黄浦区中山东二路481号B1层（十六铺码头一区）
广州塔,广东·广州·海珠区,城市观光,4A景区,热度 0.0,广东省广州市海珠区阅江西路222号
西湖,浙江·杭州·西湖区,城市观光,5A景区,热度 1.0,浙江省杭州市西湖区龙井路1号
宋城千古情,浙江·杭州·西湖区,城市观光,,热度 0.0,浙江省杭州市西湖区之江路148号
布达拉宫,西藏·拉萨·城关区,城市观光,5A景区,热度 1.0,西藏自治区拉萨市城关区北京中路35号
广东科学中心,广东·广州·番禺区,城市观光,4A景区,热度 0.0,广东省广州市番禺区大学城西六路168号
上海中心大厦上海之巅观光厅,上海·上海·浦东新区,城市观光,,热度 0.0,上海市浦东新区陆家嘴环路479号（近东泰路）
东部华侨城,广东·深圳·盐田区,城市观光,4A景区,热度 0.76,广东省深圳市盐田区艺海东路东部华侨城
重庆两江夜游,重庆·重庆·渝中区,城市观光,,热度 0.0,重庆市渝中区朝天门一码头
清华大学,北京·北京·海淀区,城市观光,,热度 0.76,北京市海淀区双清路30号
中国天眼科普基地,贵州·黔南·平塘县,城市观光,,热度 0.0,黔南布依族苗族自治州平塘县航龙未来国际天文小镇天眼景区
天安门广场,北京·北京·东城区,城市观光,,热度 1.0,北京市东城区天安门
重庆长江索道,重庆·重庆·渝中区,城市观光,4A景区,热度 0.0,重庆市渝中区新华路151号
世茂云上厦门观光厅,福建·厦门·思明区,城市观光,,热度 0.0,福建省厦门市思明区大学路世茂海峡大厦B塔
珠江夜游天字码头,广东·广州·珠江夜游,城市观光,,热度 0.0,广东省广州市越秀区沿江中路200号天字码头珠江夜游内(地铁2号线海珠广场A出口)天字码头内
珠江夜游广州塔码头,广东·广州·珠江夜游,城市观光,,热度 0.0,广州市海珠区滨江东路163号
外滩,上海·上海·黄浦区,城市观光,,热度 1.0,上海市黄浦区中山东一路（北至外白渡桥、南至十六铺码头）
金茂大厦88层观光厅,上海·上海·浦东新区,城市观光,4A景区,热度 0.76,上海市浦东新区浦东世纪大道88号观光厅
印象西湖,浙江·杭州·西湖,城市观光,,热度 0.0,浙江省杭州市西湖区北山路82号岳庙对面
鸟巢,北京·北京·奥林匹克公园,城市观光,5A景区,热度 0.8400000000000001,北京市朝阳区国家体育场南路1号奥林匹克公园内
深圳平安金融中心,广东·深圳·福田区,城市观光,,热度 0.0,深圳市福田区益田路5033号平安金融中心116层
环球金融中心观光厅,上海·上海·浦东新区,城市观光,4A景区,热度 0.72,上海市浦东新区世纪大道100号
南山一棵树观景台,重庆·重庆·南岸区,城市观光,,热度 0.0,重庆南岸区龙黄公路半山一棵树观景园
大唐不夜城,陕西·西安·曲江旅游度假区,城市观光,,热度 0.0,陕西省西安市雁塔区环塔南路东段6号大雁塔南广场
玻璃栈道,湖南·张家界·天门山国家森林公园,城市观光,,热度 0.0,湖南省张家界市永定区官黎坪天门山国家森林公园内
中央电视塔,北京·北京·海淀区,城市观光,4A景区,热度 0.72,北京市海淀区西三环中路11号
云天文化城,广西·玉林·玉州区,城市观光,,热度 0.0,广西省玉林市玉州区江滨路461号
地王大厦,广东·深圳·罗湖区,城市观光,3A景区,热度 0.9400000000000001,广东省深圳市罗湖区深南东路5002号信兴广场商业中心地王大厦69层
梅峰岛,浙江·杭州·千岛湖,城市观光,,热度 0.0,浙江省杭州市淳安县千岛湖镇千岛湖中心湖区
海坛古城,福建·福州·平潭县,城市观光,,热度 0.0,福建省福州市平潭综合实验区环岛东路与翠园南路交汇处
一江四湖,广西·桂林·七星区,城市观光,,热度 0.0,广西省桂林市七星区解放桥东南端桥底，该处有六匹铜马为标识
杭州飞来峰,浙江·杭州·西湖,城市观光,,热度 0.72,浙江省杭州市西湖区灵隐路法云弄1号
港珠澳大桥,广东·珠海·香洲区,城市观光,,热度 0.0,珠海市香洲区唐淇路
东方明珠一日游,上海·上海·浦东新区,城市观光,,热度 0.0,上海市浦东新区陆家嘴世纪大道1号
闽江夜游,福建·福州·台江区,城市观光,,热度 0.0,福建省福州市台江区闽江
东方威尼斯水城,辽宁·大连,城市观光,,热度 0.0,辽宁省大连市东港商务区港浦路
武当山,湖北·十堰·丹江口市,城市观光,5A景区,热度 1.0,湖北省十堰市丹江口市武当山景区
圆明新园,广东·珠海·香洲区,城市观光,4A景区,热度 0.9400000000000001,广东省珠海市香洲区兰埔路九州大道西
鬼谷栈道,湖南·张家界·天门山国家森林公园,城市观光,,热度 0.0,湖南省张家界市永定区
洪崖洞,重庆·重庆·渝中区,城市观光,4A景区,热度 0.8400000000000001,重庆市渝中区嘉滨路88号
月湖雕塑公园,上海·上海·佘山国家旅游度假区,城市观光,,热度 0.0,上海市松江区林荫新路1158号
绿太阳生态旅游度假区,广东·潮州,城市观光,,热度 0.0,广东省潮州市登塘镇绿太阳度假区
栈桥,山东·青岛·市南区,城市观光,,热度 1.0,山东省青岛市市南区太平路14号
百里柳江旅游景区,广西·柳州·鱼峰区,城市观光,4A景区,热度 0.0,柳州市市区流域
八大关,山东·青岛·青岛海滨,城市观光,,热度 0.0,山东省青岛市市南区正阳关路14号
什刹海,北京·北京·西城区,城市观光,4A景区,热度 0.78,北京市西城区羊房胡同
柳州云顶观光,广西·柳州·柳北区,城市观光,,热度 0.0,广西省柳州市柳北区广场路6-2号
两江国际影视城（民国街）,重庆·重庆·渝北区,城市观光,,热度 0.0,重庆市渝北区民生路
珠海海泉湾神秘岛,广东·珠海·海泉湾度假城,城市观光,,热度 0.0,广东省珠海市金湾区平沙镇海泉湾度假区内
瓷房子,天津·天津·和平区,城市观光,,热度 0.82,天津市和平区赤峰道72号
闯关东影视城,辽宁·大连·旅顺口区,城市观光,3A景区,热度 0.0,辽宁省大连市旅顺水师营街道三里桥村清风小镇
朱仙镇启封故园景区,河南·开封,城市观光,,热度 0.0,河南省开封市祥符区运粮河西岸朱仙镇启封故园
大石围天坑,广西·百色·乐业县,城市观光,4A景区,热度 0.86,广西壮族自治区百色市乐业县同乐镇刷把村百岩脚屯
WFC会仙楼观景台,重庆·重庆·渝中区,城市观光,,热度 0.0,重庆市渝中区民族路188号环球金融中心73､74F
矮寨大桥,湖南·湘西·德夯大峡谷,城市观光,,热度 0.0,湖南省湘西土家族苗族自治州吉首市矮寨镇德夯大峡谷
中原福塔,河南·郑州·管城回族区,城市观光,4A景区,热度 0.0,河南省郑州市管城回族区航海东路1206号
白公馆,重庆·重庆·沙坪坝区,城市观光,,热度 0.8,重庆市沙坪坝区
哈尔滨龙塔,黑龙江·哈尔滨·南岗区,城市观光,4A景区,热度 0.8400000000000001,黑龙江省哈尔滨市南岗区长江路178号
红树林天天赶海,广西·北海·银海区,城市观光,,热度 0.0,北海市南珠大道与海景大道交叉口金海湾红树林景区方向前350米
庆王府,天津·天津·和平区,城市观光,,热度 0.7,天津市和平区重庆道55号庆王府院内(近民园体育场)
情侣路,广东·珠海·香洲区,城市观光,,热度 0.9400000000000001,广东省珠海市香洲区
地王云顶,广西·南宁·青秀区,城市观光,3A景区,热度 0.78,广西壮族自治区南宁市青秀区金湖路59号地王大厦59楼
满洲里国门景区,内蒙古·呼伦贝尔·中俄边境旅游区,城市观光,5A景区,热度 0.74,内蒙古呼伦贝尔满洲里市西部中俄边境处
天津古文化街,天津·天津·南开区,城市观光,5A景区,热度 0.8400000000000001,天津市南开区通北路与东马路交口附近
苏堤春晓,浙江·杭州·西湖,城市观光,,热度 0.74,浙江省杭州市西湖区苏堤上
东方佛都,四川·乐山·市中区,城市观光,4A景区,热度 0.72,四川省乐山市市中区凌云路362号
外滩观光隧道,上海·上海·黄浦区,城市观光,,热度 0.7,上海市黄浦区中山东一路349号（陈毅广场向北70米）
港珠澳大桥海上游,广东·珠海,城市观光,,热度 0.0,珠海市九洲港码头
知音号,湖北·武汉·汉口区,城市观光,,热度 0.0,湖北武汉市汉口江滩四唯路和五福路之间
珠江夜游广州塔财富码头,广东·广州·海珠区,城市观光,,热度 0.0,广东省广州市海珠区阅江西路222号广州塔东北侧珠江堤岸边
芒市勐焕大金塔,云南·德宏,城市观光,,热度 0.0,云南省德宏州潞西市城东南雷牙让山山顶
海天一洲,浙江·宁波·慈溪市,城市观光,4A景区,热度 0.0,宁波市杭州跨海大桥海中平台
钟鼓楼广场,陕西·西安·莲湖区,城市观光,,热度 0.0,陕西省西安市莲湖区钟楼和鼓楼之间
五缘湾游艇帆船港,福建·厦门·湖里区,城市观光,,热度 0.0,厦门市湖里区槟城道112号，五缘湾游艇港
天府熊猫塔,四川·成都·成华区,城市观光,,热度 0.0,四川省成都市成华区猛追湾街98号
丽宁十八弯,云南·丽江·古城区,城市观光,,热度 0.0,云南省丽江市古城区991省道
司徒小镇,山西·晋城,城市观光,,热度 0.0,山西省晋城市城区北石店镇司徒村
淘金小镇,山东·烟台·黄金文化旅游区,城市观光,,热度 0.0,山东省烟台招远市玲珑镇黄金文化旅游区
溪布街,湖南·张家界·武陵源区,城市观光,,热度 0.0,湖南省张家界武陵源区武陵大道区政府对面
满洲里套娃景区,内蒙古·呼伦贝尔·中俄边境旅游区,城市观光,5A景区,热度 0.7,内蒙古呼伦贝尔满洲里市华埠大街北侧
葛洲坝船闸景区,湖北·宜昌,城市观光,,热度 0.0,湖北省宜昌市镇平路39号
西昌卫星发射基地,四川·凉山州·西昌市,城市观光,,热度 0.74,四川省凉山西昌市航天北路1号　
通济花海,四川·成都·彭州市,城市观光,,热度 0.0,四川省彭州市通济镇乔楼村
成都环球中心,四川·成都·武侯区,城市观光,,热度 0.0,四川省成都高新南区天府大道北段1700号
东四胡同,北京·北京·东城区,城市观光,,热度 0.0,北京市东城区
珠江夜游西堤码头,广东·广州·珠江夜游,城市观光,,热度 0.0,广东省广州市越秀区沿江西路49号
天安门城楼,北京·北京·东城区,城市观光,,热度 0.72,北京市东城区天安门院内西侧
静园-末代皇帝溥仪旧居,天津·天津·和平区,城市观光,,热度 0.0,天津市和平区鞍山道70号
意式风情街,天津·天津·河北区,城市观光,,热度 0.0,天津市河北区光复道8号
幻彩摩天轮,广东·中山·石岐区,城市观光,,热度 0.0,广东省中山市石岐区凤鸣路9号五楼（即兴中广场C幢五楼）
南雄珠玑古巷,广东·韶关·南雄市,城市观光,,热度 0.76,广东省南雄市沙水村
天塔湖风景区,天津·天津·河西区,城市观光,4A景区,热度 0.7,天津市河西区卫津南路1号
珠澳海湾游,广东·珠海·拱北区,城市观光,,热度 0.0,广东省珠海市拱北区湾仔镇南湾南路3002号
北大桥,辽宁·大连,城市观光,,热度 0.0,辽宁省大连市滨海中路
水立方,北京·北京·奥林匹克公园,城市观光,,热度 0.0,北京市朝阳区天辰东路11号奥林匹克公园内
五大道,天津·天津·和平区,城市观光,,热度 0.0,天津市和平区睦南道
博鳌亚洲论坛成立会址,海南·琼海,城市观光,,热度 0.76,海南省琼海市博鳌镇金海岸大道1号
三坊七巷,福建·福州·鼓楼区,城市观光,5A景区,热度 1.0,福建省福州市鼓楼区三坊七巷
钱塘江大桥,浙江·杭州·西湖区,城市观光,,热度 0.72,浙江省杭州市西湖区
滨海栈道,广东·深圳·盐田区,城市观光,,热度 0.0,广东省深圳市盐田区港西面滨海栈道
梦幻香山芳香文化园,海南·屯昌,城市观光,,热度 0.0,海南省屯昌县屯城镇加利坡村附近（中线高速公路旁）
胡雪岩故居,浙江·杭州·西湖,城市观光,,热度 0.72,浙江省杭州市上城区元宝街18号
喜洲,云南·大理·大理市,城市观光,,热度 0.78,云南-大理古城以北18公里处
厦门大学,福建·厦门·思明区,城市观光,,热度 1.0,福建省厦门市思明区思明南路422号
海心沙西区码头,广东·广州·天河区,城市观光,,热度 0.0,广东省广州市珠江新城海心沙亚运公园海心沙码头内3号铺（地铁APM线海心沙站A出口）
重庆解放碑,重庆·重庆·渝中区,城市观光,,热度 0.82,重庆市渝中区民权路、民族路和邹容路交汇处
绿地中心303观光厅,江西·南昌·红谷滩新区,城市观光,,热度 0.0,江西省南昌市红谷滩红谷中大道998号
龙缸云端廊桥,重庆·重庆·云阳县,城市观光,,热度 0.0,重庆市云阳县龙缸景区清水乡龙缸景区
应县木塔,山西·朔州·应县,城市观光,4A景区,热度 1.0,山西省朔州市应县城内塔前街
杨柳青古镇,天津·天津·西青区,城市观光,,热度 0.7,天津市西青区杨柳青古镇景区
协和礼拜堂,福建·厦门·思明区,城市观光,,热度 0.0,福建省厦门市思明区港后路
五一广场公园,福建·福州·鼓楼区,城市观光,,热度 0.7,福州市市中心
南京路步行街,上海·上海·黄浦区,城市观光,,热度 0.82,上海市黄浦区
凤岭摩天轮,广西·南宁·凤岭儿童公园,城市观光,,热度 0.0,南宁市青秀区云景路25号凤岭儿童公园内
六和塔,浙江·杭州·西湖,城市观光,,热度 0.74,浙江省杭州市西湖区之江路84号
长沙三珍虎园,湖南·长沙·长沙县,城市观光,,热度 0.0,湖南省长沙市长沙县金井镇脱甲村向北许家屋场
杭州植物园,浙江·杭州·西湖区,城市观光,,热度 0.72,浙江省杭州市西湖区桃源岭1号
杭州江和美海洋公园,浙江·杭州,城市观光,,热度 0.0,浙江省杭州市钱江新城三堡东方大厦C座1楼
大梅沙,广东·深圳·盐田区,城市观光,,热度 0.8,广东省深圳市盐田区大梅沙盐梅路52号
渣滓洞,重庆·重庆·沙坪坝区,城市观光,,热度 0.78,重庆市沙坪坝区渣滓洞凌云路歌乐山烈士陵园附近
宁夏园艺产业园,宁夏·银川·贺兰县,城市观光,,热度 0.0,宁夏银川市贺兰县习岗镇经济桥四社宁夏园艺产业园
梅溪牌坊,广东·珠海·香洲区,城市观光,,热度 0.76,广东省珠海市香洲区前山镇上冲梅溪村3号
泉城广场,山东·济南·历下区,城市观光,,热度 0.0,山东省济南市历下区泺源大街69号
北京大学,北京·北京·海淀区,城市观光,,热度 0.78,北京市海淀区颐和园路5号
大悦城屋顶摩天轮,上海·上海·闸北区,城市观光,,热度 0.0,上海市西藏北路166号上海大悦城北座楼顶
李小龙乐园,广东·佛山·顺德区,城市观光,,热度 0.0,广东省佛山市顺德区均安镇沙浦路
陆家嘴,上海·上海·浦东新区,城市观光,,热度 0.0,上海市浦东新区西北部
上海人民广场,上海·上海·黄浦区,城市观光,,热度 0.72,中国上海黄浦区上海人民广场
玉垒阁,四川·成都·都江堰,城市观光,,热度 0.0,四川省成都市都江堰市城西公园路都江堰风景名胜区内
水城之眼摩天轮,山东·聊城,城市观光,,热度 0.0,山东省聊城市湖南路中段，南关街交叉口
